Membership No  Date Joined  Active  
    78427      2015-6-18    no    
    48200      2017-8-23    no    
    94862      2019-9-5     no    
    69252      2016-7-22    no    
    52057      2020-1-9     no    
    78435      2016-8-8     no    
    29681      2020-10-25   no    
    22904      2019-12-14   no    
    56495      2017-4-15    no    
    11900      2016-9-25    no    
    24117      2020-3-6     no    
    84625      2018-1-16    no    
    54611      2020-6-8     no    
    72419      2016-12-8    no    
    59768      2015-2-16    no    
