Membership No  Date Joined  Active  
    83547      2015-7-19    no    
    28583      2019-2-13    no    
    66584      2015-3-23    no    
    72831      2020-1-3     no    
    11240      2019-9-21    no    
    99570      2017-10-24   no    
    79180      2015-9-24    no    
    64189      2017-7-6     no    
    94495      2016-7-11    no    
    59862      2016-9-11    no    
    52040      2018-7-6     no    
    20317      2017-7-13    no    
    87644      2020-9-24    no    
    22338      2016-8-25    no    
